method = 0 LS
	1 FR
	2 PRP+
	3 HS
	4 DY
	5 CG - Descent

 Pro  Dim flag  iter    nfg     evalf       ||evalg||_inf   method   cpu
 42   5000  1  10000 329344 -4.9989473D+03  3.1500210D-04      1   9682  1
 42   5000  1  10000 327170 -4.9989474D+03  3.6794853D-05      2   9600  1
 42   5000  0    832  23108 -4.9994474D+03  6.4288553D-07      3    679  1
 42   5000  1  10000 321444 -4.9989467D+03  1.4361482D-03      4   9465  1
 42   5000  0   4108 130879 -4.9989474D+03  9.0434247D-07      5   3862  1
 43   5000  1  10000  10070            NaN            NaN      0   2536  1
 43   5000  0     12     31  1.0000000D+00  9.7155458D-07      1      1  1
 43   5000  0     12     48  1.0000000D+00  7.6967877D-08      2      2  1
 43   5000  0     10     35  1.0000000D+00  2.4355666D-07      3      2  1
 43   5000  0     11     32  1.0000000D+00  3.0766487D-07      4      1  1
 43   5000  0      8     26  1.0000000D+00  5.8857880D-08      5      1  1
 44   5000  1  10000  10049            NaN            NaN      0   2543  1
 44   5000  0      9     32  1.0000000D+00  2.5472226D-07      1      2  1
 44   5000  0     14     49  1.0000000D+00  1.8387570D-07      2      2  1
 44   5000  0     10     42  1.0000000D+00  2.9056064D-08      3      2  1
 44   5000  0      9     29  1.0000000D+00  4.4725786D-08      4      1  1
 44   5000  0      9     37  1.0000000D+00  9.1759578D-07      5      2  1
 45   5000  1  10000  10048            NaN            NaN      0   2528  1
 45   5000  0     38     91  1.0000000D+00  4.2188333D-07      1      4  1
 45   5000  1  10000  16407  3.0491259D+16  4.3591499D+15      2    734  1
 45   5000  0     13     43  1.0000000D+00  4.0353871D-07      3      2  1
 45   5000  0     28     66  1.0000000D+00  9.1425896D-07      4      3  1
 45   5000  0      9     29  1.0000000D+00  5.5702577D-08      5      0  1
 46   5000  1  10000  10048            NaN            NaN      0   2599  1
 46   5000  0   1191   1551  1.0000000D+00  9.9419635D-07      1     84  1
 46   5000  0    588    889  1.0000000D+00  9.8337228D-07      2     47  1
 46   5000  0    503    642  1.0000000D+00  8.4863532D-07      3     34  1
 46   5000  0    411    474  1.0000000D+00  9.8589211D-07      4     26  1
 46   5000  0    574    814  1.0000000D+00  9.6931398D-07      5     45  1
 47   5000  1  10000  10004  1.8459856D+06  6.4111637D+03      0  41325  1
 47   5000  0    202    331  3.0302592D-13  8.9334713D-07      1   1362  1
 47   5000  0     87    155  4.5755349D-13  9.9874759D-07      2    642  1
 47   5000  0    116    205  3.7713527D-13  9.6569723D-07      3    846  1
 47   5000  0    109    191  5.0049819D-13  9.8503838D-07      4    783  1
 47   5000  0    138    236  3.0772346D-13  9.3710107D-07      5    970  1
 48   5000  1  10000  11155            NaN            NaN      0    245  1
 48   5000  0    656    902  3.9706710D-01  8.9948771D-07      1     18  1
 48   5000  0     84    150  3.9706710D-01  9.0185283D-07      2      2  1
 48   5000  0     59    118  3.9706710D-01  7.3420879D-07      3      2  1
 48   5000  0    292    370  3.9706710D-01  9.6411951D-07      4      8  1
 48   5000  0     69    121  3.9706710D-01  6.7216825D-07      5      2  1
 49   5000  1  10000  10004  3.4729164D+05  1.6660201D+03      0    195  1
 49   5000  0   2826   3653  3.7596467D-13  9.9437469D-07      1     61  1
 49   5000  0   1031   1550  2.3888677D-13  9.6217712D-07      2     24  1
 49   5000  0    808   1057  1.7568718D-13  8.1107315D-07      3     17  1
 49   5000  0    977   1075  4.5940834D-13  9.9982242D-07      4     20  1
 49   5000  0   1280   1815  8.7350271D-14  8.8051086D-07      5     31  1
 50   5000  1  10000  10004  3.4838942D+05  1.6656732D+03      0    229  1
 50   5000  0   2969   3862  3.2463673D-13  9.8961745D-07      1     78  1
 50   5000  0    932   1366  2.5032048D-13  9.9687725D-07      2     25  1
 50   5000  0    894   1143  5.3480020D-14  9.8510752D-07      3     22  1
 50   5000  0    972   1069  2.8371831D-13  9.7944144D-07      4     23  1
 50   5000  0   1050   1470  2.5112608D-13  9.8839221D-07      5     31  1
 51   5000  1  10000  10494            NaN            NaN      0   3015  1
 51   5000  0     55    885  3.0003285D+04  9.8970108D-07      1     17  1
 51   5000  0     54    988  3.0003285D+04  5.4907283D-07      2     20  1
 51   5000  0    161   4092  3.0003285D+04  8.9690408D-07      3     79  1
 51   5000  0     55    848  3.0003285D+04  9.7832111D-07      4     18  1
 51   5000  0     20     54  3.0003285D+04  4.0030549D-07      5      0  1
 52   5000  1  10000  10004            NaN            NaN      0   4497  1
 52   5000  1  10000  10010            NaN            NaN      1   4495  1
 52   5000  1  10000  10010            NaN            NaN      2   4495  1
 52   5000  1  10000  10011            NaN            NaN      3   4504  1
 52   5000  1  10000  10010            NaN            NaN      4   4493  1
 52   5000  1  10000  10012            NaN            NaN      5   4521  1
 53   5000  1  10000  10050            NaN            NaN      0    212  1
 53   5000  1  10000  13027  6.7594357D-04  3.0106414D-04      1    234  1
 53   5000  1  10000  14709  2.1778834D-04  8.9751175D-06      2    248  1
 53   5000  1  10000  12864  2.2127136D-04  9.9590197D-06      3    232  1
 53   5000  1  10000  10078  3.8495550D-06  1.6749618D-05      4    212  1
 53   5000  1  10000  13925  2.0618355D-04  1.4198218D-05      5    265  1
 54   5000  1  10000  10182            NaN            NaN      0    243  1
 54   5000  0     85    170  2.3638576D-14  3.8723359D-07      1      3  1
 54   5000  0     17     44  8.9581301D-13  6.8776086D-08      2      1  1
 54   5000  0     14     39  2.6368601D-21  1.4505420D-08      3      0  1
 54   5000  0     59    117  3.0896868D-13  6.8235414D-07      4      2  1
 54   5000  0     19     50  5.9656717D-20  5.7807769D-08      5      1  1
 55   5000  0      4     23  0.0000000D+00  9.1447370D-09      0      1  1
 55   5000  0      4     23  0.0000000D+00  9.1447383D-09      1      1  1
 55   5000  1  10000  10004            NaN            NaN      2    217  1
 55   5000  1  10000  10011            NaN            NaN      3    216  1
 55   5000  0      4     23  5.5511151D-13  9.1447401D-09      4      0  1
 55   5000  0      4     23  0.0000000D+00  9.1447361D-09      5      0  1
 56   5000  1  10000  10004  6.6551806D+00  3.4216735D+00      0    206  1
 56   5000  1  10000  13030  6.9602520D-03  4.1958773D-04      1    229  1
 56   5000  1  10000  14742  2.7746815D-03  1.6137010D-05      2    240  1
 56   5000  1  10000  12847  5.9132466D-03  3.3404435D-05      3    226  1
 56   5000  1  10000  10050  2.0430714D-04  1.4485729D-05      4    207  1
 56   5000  1  10000  13912  5.3730235D-03  1.4933836D-05      5    258  1
 57   5000  1  10000  10068            NaN            NaN      0    228  1
 57   5000  0    285   8484  5.5486684D+03  9.6920310D-07      1     86  1
 57   5000  0    195   5333  5.5486684D+03  8.2431264D-07      2     54  1
 57   5000  0    695  20246  5.5486684D+03  8.0725700D-07      3    206  1
 57   5000  0   1711  53963  5.5486684D+03  9.9716460D-07      4    543  1
 57   5000  0    229   6770  5.5486684D+03  8.6932555D-07      5     70  1
 58   5000  1  10000  10104            NaN            NaN      0   1633  1
 58   5000  0     14     35  2.2259845D-10  8.0968799D-07      1      1  1
 58   5000  1  10000  10013            NaN            NaN      2   1636  1
 58   5000  1  10000  10019            NaN            NaN      3   1633  1
 58   5000  0     16     43  3.1842535D-10  7.0038633D-07      4      1  1
